Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CSWF
Folio Number:  9A1535500P06
Download Date:  08/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/01/2019,9805533.86136,0.00000,0.00000,0.00000,-1.62672,-1.62672
07/31/2019,9967679.95173,0.00000,0.00000,0.00000,-0.79185,-0.79185
07/30/2019,10047239.17075,0.00000,0.00000,0.00000,0.15080,0.15080
07/29/2019,10032110.98859,0.00000,0.00000,0.00000,-0.03804,-0.03804
07/26/2019,10035929.14821,0.00000,0.00000,0.00000,3.02522,3.02522
07/25/2019,9741235.63228,0.00000,0.00000,0.00000,-2.44105,-2.44105
07/24/2019,9984974.04048,0.00000,0.00000,0.00000,1.26959,1.26959
07/23/2019,9859794.83059,0.00000,0.00000,0.00000,0.77613,0.77613
07/22/2019,9783859.75374,0.00000,0.00000,0.00000,0.85659,0.85659
07/19/2019,9700763.74296,0.00000,0.00000,0.00000,-0.43606,-0.43606
07/18/2019,9743250.54231,0.00000,0.00000,0.00000,-0.90912,-0.90912
07/17/2019,9832640.96714,-0.00011,0.00000,0.00000,-0.29663,-0.29663
07/16/2019,9860992.07459,0.00000,902.47501,0.00000,0.46741,0.46741
07/15/2019,9815110.89463,0.00013,902.47501,0.00000,-0.90125,-0.90125
07/12/2019,9902688.41183,0.00000,2596.25645,0.00000,0.55751,0.55751
07/11/2019,9847771.21865,0.00000,2596.25645,0.00000,-0.52498,-0.52498
07/10/2019,9899756.98539,0.00000,2596.25645,0.00000,0.92459,0.92459
07/09/2019,9809039.73222,0.00000,2596.25645,0.00000,-0.13355,-0.13355
07/08/2019,9823063.66025,0.00000,1693.78144,0.00000,-0.21544,-0.21544
07/05/2019,9844276.21531,0.00000,1693.78144,0.00000,1.18568,1.18568
07/03/2019,9728902.89866,0.00000,1693.78144,0.00000,-0.25056,-0.25056
07/02/2019,9753345.06912,0.00000,1693.78144,0.00000,0.24970,0.24970
07/01/2019,9729047.49040,0.00000,1693.78144,0.00000,0.39370,0.39370
