Client Name:  Marketocracy Capital Management, LLC
Folio Name:  spekoliunas_LRFF
Folio Number:  9A1550200T02
Download Date:  12/20/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/19/2018,1500771.35199,0.00000,0.00000,0.00000,-1.99181,-1.99181
12/18/2018,1531271.30465,0.00000,0.00000,0.00000,-0.00942,-0.00942
12/17/2018,1531415.49348,0.00000,0.00000,0.00000,-3.60296,-3.60296
12/14/2018,1588654.01157,0.00000,0.00000,0.00000,-1.25267,-1.25267
12/13/2018,1608807.01854,0.00000,0.00000,0.00000,-1.27137,-1.27137
12/12/2018,1629524.29216,0.00000,0.00000,0.00000,0.33898,0.33898
12/11/2018,1624019.19898,0.00000,0.00000,0.00000,0.20239,0.20239
12/10/2018,1620739.03174,0.00000,0.00000,0.00000,0.62443,0.62443
12/07/2018,1610681.38657,0.00000,0.00000,0.00000,-3.29440,-3.29440
12/06/2018,1665551.25915,0.00000,0.00000,0.00000,1.27884,1.27884
12/05/2018,1644520.53137,0.00000,0.00000,0.00000,0.00000,0.00000
12/04/2018,1644520.53137,0.00000,0.00000,0.00000,-4.33571,-4.33571
12/03/2018,1719053.73906,0.00000,0.00000,0.00000,2.78999,2.78999
11/30/2018,1672394.03380,0.00000,0.00000,0.00000,0.26784,0.26784
11/29/2018,1667926.71248,0.00000,0.00000,0.00000,-0.71435,-0.71435
11/28/2018,1679927.21567,0.00000,0.00000,0.00000,2.39177,2.39177
11/27/2018,1640685.78950,0.00000,0.00000,0.00000,0.24017,0.24017
11/26/2018,1636754.75844,0.00000,0.00000,0.00000,3.75507,3.75507
11/23/2018,1577517.90386,0.00000,0.00000,0.00000,-0.23545,-0.23545
11/21/2018,1581240.89199,0.00000,0.00000,0.00000,0.61838,0.61838
11/20/2018,1571522.91074,0.00000,0.00000,0.00000,-0.39064,-0.39064
11/19/2018,1577686.01917,0.00000,0.00000,0.00000,-3.65804,-3.65804
11/16/2018,1637589.76033,0.00000,0.00000,0.00000,-0.48905,-0.48905
