Client Name:  Marketocracy Capital Management, LLC
Folio Name:  themagician_TMsF
Folio Number:  9A1546200P02
Download Date:  03/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/28/2019,638577.28212,0.00000,0.00000,0.00000,-0.03488,-0.03488
02/27/2019,638800.11394,0.00000,0.00000,0.00000,0.31732,0.31732
02/26/2019,636779.50821,0.00000,0.00000,0.00000,-0.01345,-0.01345
02/25/2019,636865.18227,0.00000,0.00000,0.00000,0.02747,0.02747
02/22/2019,636690.30458,0.00000,0.00000,0.00000,2.50505,2.50505
02/21/2019,621130.70028,0.00000,0.00000,0.00000,-0.43251,-0.43251
02/20/2019,623828.84693,0.00000,0.00000,0.00000,0.03118,0.03118
02/19/2019,623634.36687,0.00000,0.00000,0.00000,0.27604,0.27604
02/15/2019,621917.64584,0.00000,0.00000,0.00000,0.24687,0.24687
02/14/2019,620386.10251,0.00000,0.00000,0.00000,0.16032,0.16032
02/13/2019,619393.11835,0.00000,0.00000,0.00000,0.16622,0.16622
02/12/2019,618365.27662,0.00000,0.00000,0.00000,0.57081,0.57081
02/11/2019,614855.59682,0.00000,0.00000,0.00000,-0.34210,-0.34210
02/08/2019,616966.25733,0.00000,0.00000,0.00000,0.36421,0.36421
02/07/2019,614727.33917,0.00000,0.00000,0.00000,-0.37151,-0.37151
02/06/2019,617019.64936,0.00000,0.00000,0.00000,0.10472,0.10472
02/05/2019,616374.19954,0.00000,0.00000,0.00000,0.22374,0.22374
02/04/2019,614998.20675,0.00000,0.00000,0.00000,0.40925,0.40925
02/01/2019,612491.55945,0.00000,0.00000,0.00000,0.02991,0.02991
01/31/2019,612308.41354,0.00000,0.00000,0.00000,0.19901,0.19901
01/30/2019,611092.27874,0.00000,0.00000,0.00000,0.27319,0.27319
01/29/2019,609427.36376,0.00000,0.00000,0.00000,-0.16870,-0.16870
01/28/2019,610457.20797,0.00000,0.00000,0.00000,-0.01178,-0.01178
