Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CEOF
Folio Number:  9A1535500P03
Download Date:  08/26/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/23/2019,2882243.94737,0.00000,0.00000,0.00000,-2.76957,-2.76957
08/22/2019,2964343.36635,0.00000,0.00000,0.00000,0.25011,0.25011
08/21/2019,2956947.76903,0.00000,0.00000,0.00000,0.08158,0.08158
08/20/2019,2954537.57298,0.00000,0.00000,0.00000,-0.37670,-0.37670
08/19/2019,2965709.39865,0.00000,0.00000,0.00000,1.32267,1.32267
08/16/2019,2926994.99400,0.00000,0.00000,0.00000,1.57889,1.57889
08/15/2019,2881499.20196,0.00000,0.00000,0.00000,-1.33088,-1.33088
08/14/2019,2920365.62133,460.06562,0.00000,0.00000,-2.90333,-2.90333
08/13/2019,3004652.77519,0.00000,2568.92811,0.00000,0.02659,0.02659
08/12/2019,3003853.39843,0.00000,2568.92811,0.00000,-0.65778,-0.65778
08/09/2019,3023760.04402,6872.69983,2568.92811,0.00000,-0.98797,-0.98797
08/08/2019,3047050.73179,0.00000,2568.92811,0.00000,1.17812,1.17812
08/07/2019,3011540.82221,0.00000,2568.92811,0.00000,-2.09577,-2.09577
08/06/2019,3076061.95622,0.00000,2568.92811,0.00000,0.16770,0.16770
08/05/2019,3073476.71434,0.00000,0.00000,0.00000,-3.43328,-3.43328
08/02/2019,3182749.36583,0.00000,0.00000,0.00000,-1.08900,-1.08900
08/01/2019,3217791.20061,0.00000,0.00000,0.00000,-2.06125,-2.06125
07/31/2019,3285513.72211,0.00008,0.00000,0.00000,-0.51118,-0.51118
07/30/2019,3300723.99043,0.00000,1670.92073,0.00000,3.38224,3.38224
07/29/2019,3192683.31658,0.00000,1670.92073,0.00000,-0.93073,-0.93073
07/26/2019,3222693.28983,0.00000,1670.92073,0.00000,-0.32334,-0.32334
07/25/2019,3233152.72839,0.00000,1670.92073,0.00000,-1.04386,-1.04386
07/24/2019,3267275.94336,0.00000,1670.92073,0.00000,0.12803,0.12803
07/23/2019,3263096.20641,0.00000,1670.92073,0.00000,0.49393,0.49393
